Facility Name,address,city,state,zip,pass fail,score
YOGHART,1230 FIRST ST,GILROY,CA,95020,Pass*,100*
CHRISTOPHER HIGH SCHOOL SNACK BAR,850 DAY RD,GILROY,CA,95020,Pass,100
CHRISTOPHER HIGH SCHOOL,850 DAY RD,GILROY,CA,95020,Pass,100
LUIGI APREA FUNDAMENTAL SCHOOL,9225 CALLE DEL REY ,GILROY,CA,95020,Pass,96
ANTONIO DEL BUONO ELEMENTARY SCHOOL,9300 WREN AV,GILROY,CA,95020,Pass,90
GUSD STATE PRESCHOOL @ ANTONIO DEL BUONO,245 FARRELL AV,GILROY,CA,95020,Pass,98
NEVERIA ALASKA,7291 MONTEREY RD,GILROY,CA,95020,Pass,96
TENAMPA RESTAURANT,7990 MONTEREY ST,GILROY,CA,95020,Pass,69
LHCF - GILROY HEALTHCARE AND REHABILITATION CENTER,8170 MURRAY AV,GILROY,CA,95020,Pass,100
LHCF - SAINT LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO ,GILROY,CA,95020,Pass,100
FORTINO WINERY DELI,4525 HECKER PASS HY,GILROY,CA,95020,Pass,92
MT MADONNA CONTINUATION HIGH SCHOOL,8750 HIRASAKI CT,GILROY,CA,95020,Pass,97
ROD KELLEY ELEMENTARY SCHOOL,8755 KERN AV,GILROY,CA,95020,Pass,97
SOUTH COUNTY CONES,3050 HECKER PASS HY,GILROY,CA,95020,Pass*,96*
